Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;3.000;64.00;1,6300;18,3012;0,5194;4,7300;158,5599;169,6970;59,8177;2,8369;92,6520;1,8316
2;3.000;64.00;1,6300;18,2976;0,5275;4,7600;159,5971;172,3469;60,2090;2,8625;93,2580;1,8481
3;3.000;64.00;1,6300;18,6431;0,5365;4,8600;159,9303;175,2864;60,3347;2,9052;93,4528;1,8757
4;3.000;64.00;1,6300;18,2969;0,5134;4,8800;163,6269;167,7463;61,7292;2,7175;95,6128;1,7544
5;3.000;64.00;1,6300;18,6363;0,5290;5,0700;166,9018;172,8403;62,9647;2,7450;97,5264;1,7722
6;3.000;64.00;1,6300;18,3052;0,5185;5,0000;167,5744;169,4130;63,2185;2,6798;97,9195;1,7301
7;3.000;64.00;1,6300;18,4131;0,5331;5,1400;171,2567;174,1872;64,6077;2,6961;100,0712;1,7406
8;3.000;64.00;1,6300;17,0659;0,5428;4,8100;172,9130;177,3433;65,2325;2,7186;101,0389;1,7552
9;3.000;64.00;1,6300;18,4137;0,5239;5,2300;174,2501;171,1580;65,7369;2,6037;101,8203;1,6810
10;3.000;64.00;1,6300;18,2976;0,5405;5,2300;175,3561;176,5779;66,1542;2,6692;102,4666;1,7233
11;3.000;64.00;1,6300;18,4082;0,5445;5,7500;191,6322;177,9022;72,2944;2,4608;111,9772;1,5887
12;3.000;64.00;1,6300;18,2958;0,5704;5,7700;193,4805;186,3544;72,9917;2,5531;113,0573;1,6483
13;3.000;64.00;1,6300;18,4207;0,5547;5,9400;197,8306;181,2464;74,6328;2,4285;115,5992;1,5679
14;3.000;64.00;1,6300;18,3112;0,5634;6,0000;201,0236;184,0655;75,8374;2,4271;117,4649;1,5670
15;3.000;64.00;1,6300;18,4049;0,5774;6,2300;207,6667;188,6359;78,3435;2,4078;121,3467;1,5545
16;3.000;64.00;1,6300;18,2995;0,6465;7,8000;261,4979;211,2075;98,6517;2,1409;152,8022;1,3822
17;3.000;64.00;1,6300;18,2493;0,6638;8,1900;275,3276;216,8788;103,8690;2,0880;160,8833;1,3481
18;3.000;64.00;1,6300;18,3059;0,6850;8,4400;282,8553;223,8030;106,7089;2,0973;165,2820;1,3541
19;3.000;64.00;1,6300;18,2970;0,6682;8,6000;288,3578;218,3175;108,7848;2,0069;168,4973;1,2957
20;3.000;64.00;1,6300;18,1829;0,6735;8,6700;292,5292;220,0311;110,3584;1,9938;170,9348;1,2872
21;3.000;64.00;1,6300;10,4425;1,3428;26,5400;1559,2289;438,7019;588,2287;0,7458;911,1107;0,4815
22;3.000;64.00;1,6300;10,4430;1,1929;27,8900;1638,4650;389,7356;618,1210;0,6305;957,4111;0,4071
23;3.000;64.00;1,6300;10,7775;1,3526;29,0700;1654,7782;441,9247;624,2753;0,7079;966,9434;0,4570
24;3.000;64.00;1,6300;10,4419;1,3435;28,4900;1673,8851;438,9625;631,4835;0,6951;978,1082;0,4488
25;3.000;64.00;1,6300;10,4463;1,2350;29,3800;1725,4439;403,4972;650,9343;0,6199;1008,2358;0,4002
26;3.000;64.00;1,6300;10,4423;1,2556;29,8400;1753,1276;410,2396;661,3782;0,6203;1024,4123;0,4005
27;3.000;64.00;1,6300;10,4480;1,2686;34,1300;2004,0732;414,4659;756,0490;0,5482;1171,0484;0,3539
28;3.000;64.00;1,6300;10,4298;1,3797;35,5200;2089,3464;450,7676;788,2188;0,5719;1220,8764;0,3692
29;3.000;64.00;1,6300;4,7295;1,4563;29,4300;3817,5650;475,7984;1440,1999;0,3304;2230,7336;0,2133
30;3.000;64.00;1,6300;4,6111;1,4730;31,8300;4234,9586;481,2604;1597,6642;0,3012;2474,6309;0,1945
31;3.000;64.00;1,6300;5,4002;1,4904;38,6400;4389,7260;486,9386;1656,0512;0,2940;2565,0668;0,1898
32;3.000;64.00;1,6300;5,2899;1,4676;39,1200;4536,9579;479,4838;1711,5953;0,2801;2651,0994;0,1809
33;3.000;64.00;1,6300;5,2850;1,4587;41,4200;4808,1380;476,5792;1813,8997;0,2627;2809,5592;0,1696
34;3.000;64.00;1,6300;5,4029;1,5146;58,4900;6641,4876;494,8479;2505,5421;0,1975;3880,8479;0,1275
35;3.000;64.00;1,6300;5,4037;1,5561;59,0400;6702,9522;508,4105;2528,7300;0,2011;3916,7638;0,1298
36;3.000;64.00;1,6300;5,5131;1,6122;61,2700;6818,1589;526,7294;2572,1924;0,2048;3984,0830;0,1322
37;3.000;64.00;1,6300;5,1721;1,4993;58,8700;6982,9429;489,8576;2634,3582;0,1859;4080,3720;0,1201
